"","x","y"
"862",8433,11093
"863",8431,8482
"864",17012,7604
"865",13732,9202
"866",9444,12543
"867",16771,20514
"868",18779,8618
"869",7676,11529
"870",16266,20514
"871",11462,10800
"872",13225,6882
"873",13983,7897
"874",12217,8624
"875",16259,13262
"876",7927,9063
"877",16009,15438
"878",9188,8336
"879",11964,8189
"880",17265,8909
"881",15257,21386
"882",12984,19792
"883",13226,8042
"884",12729,16166
"885",10703,8915
"886",17775,14711
"887",6921,13125
"888",7431,19217
"889",13477,6447
"890",16510,11666
"891",11712,8914
"892",11207,8334
"893",14998,14278
"894",15500,10216
"895",9694,9786
"896",18279,13260
"897",12481,21243
"898",7173,13270
"899",15496,6735
"900",11719,16167
"901",12730,17616
"902",13228,9783
"903",13238,21678
"904",11972,16312
"905",6666,10079
"906",18789,19062
"907",17013,9054
"908",6667,12110
"909",9704,20520
"910",15752,10361
"911",8692,17910
"912",13731,8332
"913",7177,17041
"914",14242,15004
"915",16011,18049
"916",8945,18635
"917",16509,9925
"918",7675,9788
"919",10453,12252
"920",12730,17907
"921",16506,6734
"922",6671,15591
"923",19288,12679
"924",12986,21243
"925",19284,8617
"926",10961,15152
"927",20804,14998
"928",19293,18481
"929",7928,10223
"930",10713,19939
"931",10460,19214
"932",5912,14286
"933",11966,9929
"934",13224,6302
"935",19293,19061
"936",7428,15445
"937",8185,15880
"938",8945,18925
"939",13992,17470
"940",11710,6593
"941",9447,15734
"942",16760,8910
"943",12219,10364
"944",7428,16026
"945",17017,13986
"946",12982,17471
"947",9447,15444
"948",14998,13988
"949",12467,6448
"950",11711,7174
"951",10201,12397
"952",13491,21532
"953",10957,11381
"954",12976,11089
"955",13731,8622
"956",10961,14862
"957",12734,21678
"958",12727,14135
"959",18284,18772
"960",21056,13983
"961",8437,15735
"962",18278,12390
"963",9955,18924
"964",6419,16317
"965",13985,9927
"966",16265,19064
"967",16006,12247
"968",7175,15301
"969",15497,7315
"970",8442,20376
"971",11966,10219
"972",19541,13404
"973",14498,18920
"974",15255,18775
"975",12724,11234
"976",5660,14432
"977",15749,6880
"978",16253,6589
"979",9449,18055
"980",11976,20953
"981",14493,13989
"982",10961,15732
"983",19797,17900
"984",17780,20223
"985",9441,8771
"986",6667,11820
"987",7932,14865
"988",10961,15442
"989",13234,16456
"990",19793,13839
"991",14995,10217
"992",17518,9344
"993",6161,10660
"994",10458,17473
"995",12983,18632
"996",13734,12104
"997",13230,12394
"998",20296,10937
"999",15246,8621
"1000",9198,19070
"1001",17775,14131
"1002",18028,15726
"1003",10452,10511
"1004",9442,9932
"1005",10705,11526
"1006",10198,9206
"1007",13487,17761
"1008",13489,19501
"1009",5659,13561
"1010",16770,19934
"1011",13737,14714
"1012",10455,13412
"1013",13478,7607
"1014",16001,6444
"1015",9700,16749
"1016",20050,18045
"1017",8186,16750
"1018",13487,17181
"1019",14495,15729
"1020",13984,9057
"1021",18534,16886
"1022",16760,8039
"1023",17770,8619
"1024",16259,12972
"1025",8943,16024
"1026",14498,19210
"1027",10710,16748
"1028",10454,12542
"1029",13230,12104
"1030",13489,19792
"1031",7171,10369
"1032",8432,9642
"1033",13231,13845
"1034",8939,11673
"1035",11966,10510
"1036",15760,19354
"1037",9948,11962
"1038",18529,11374
"1039",20297,12678
"1040",14237,9492
"1041",8181,11238
"1042",7172,12400
"1043",11468,17473
"1044",15501,11667
"1045",17270,13841
"1046",13485,14860
"1047",6168,17622
"1048",11209,10075
"1049",18787,16741
"1050",16766,14712
"1051",11721,18778
"1052",12474,13700
"1053",20549,12242
"1054",10714,21390
"1055",14499,20371
"1056",18536,18627
"1057",15257,21095
"1058",5659,13271
"1059",15509,20370
"1060",14999,14568
"1061",16012,18339
"1062",9445,13703
"1063",11716,13266
"1064",13988,13119
"1065",21057,16013
"1066",11720,17617
"1067",14496,17180
"1068",9197,18490
"1069",10205,16748
"1070",19540,12533
"1071",8186,17040
"1072",12469,8478
"1073",14238,10362
"1074",16005,10796
"1075",7431,19507
"1076",7927,9643
"1077",11217,19358
"1078",9703,19360
"1079",13479,8768
"1080",20802,12387
"1081",9194,15009
"1082",6923,15446
"1083",11716,12976
"1084",11206,7174
"1085",15502,12537
"1086",20048,16304
"1087",19537,8762
"1088",12226,19067
"1089",17265,8329
"1090",17776,16161
"1091",7679,14140
"1092",13736,13264
"1093",7429,17186
"1094",19540,13114
"1095",13738,15875
"1096",13480,9638
"1097",14495,16309
"1098",19285,9197
"1099",15508,19790
"1100",20296,11227
"1101",10705,10946
"1102",18781,10068
"1103",16014,21240
"1104",18535,17756
"1105",7178,18202
"1106",20046,13984
"1107",15750,8040
"1108",18029,16306
"1109",14747,15874
"1110",10209,20810
"1111",19794,14709
"1112",12219,10944
"1113",6921,13705
"1114",8188,18491
"1115",12473,12250
"1116",17519,11085
"1117",12723,10364
"1118",14746,14133
"1119",19033,10213
"1120",10206,17329
"1121",12976,10218
"1122",11217,18778
"1123",18285,19932
"1124",16257,10361
"1125",14747,15584
"1126",10704,10075
"1127",10461,20375
"1128",8936,9062
"1129",18032,19787
"1130",11469,18343
"1131",13227,8623
"1132",12474,13410
"1133",6672,16752
"1134",17013,8764
"1135",10964,18633
"1136",18782,11229
"1137",11460,8769
"1138",10455,14282
"1139",11975,20083
"1140",14243,15874
"1141",12222,14716
"1142",9451,19795
"1143",16516,18338
"1144",12732,20227
"1145",18280,15291
"1146",19544,16885
"1147",7176,16751
"1148",12980,15150
"1149",12219,10654
"1150",17018,14857
"1151",10204,15008
"1152",10208,19649
"1153",17021,18628
"1154",12475,15151
"1155",19541,13694
"1156",17275,20223
"1157",11213,14717
"1158",6416,13125
"1159",16765,14132
"1160",12729,17036
"1161",19791,10938
"1162",19544,17465
"1163",19290,15000
"1164",19543,16015
"1165",13732,8912
"1166",7675,9498
"1167",9702,19070
"1168",6922,14285
"1169",16256,8910
"1170",18786,16451
"1171",9193,14138
"1172",16508,8475
"1173",8436,13704
"1174",10960,13702
"1175",9450,19505
"1176",9699,15008
"1177",19032,9053
"1178",13991,16890
"1179",8182,12399
"1180",17770,8909
"1181",9199,20231
"1182",9704,21100
"1183",14488,7606
"1184",15756,15003
"1185",11718,15297
"1186",18022,8183
"1187",11717,14136
"1188",7175,15591
"1189",15256,19645
"1190",19286,10938
"1191",17269,13551
